id,problem,answer,source,has_answer,solution
aimo1_train_229ee8,"Let $k, l > 0$ be parameters. The parabola $y = kx^2 - 2kx + l$ intersects the line $y = 4$ at two points $A$ and $B$. These points are distance 6 apart. What is the sum of the squares of the distances from $A$ and $B$ to the origin?",52,aimo1_train,True,
aimo1_train_246d26,Each of the three-digits numbers $111$ to $999$ is coloured blue or yellow in such a way that the sum of any two (not necessarily different) yellow numbers is equal to a blue number. What is the maximum possible number of yellow numbers there can be?,250,aimo1_train,True,
aimo1_train_2fc4ad,"Let the `sparkle' operation on positive integer $n$ consist of calculating the sum of the digits of $n$ and taking its factorial, e.g. the sparkle of 13 is $4! = 24$. A robot starts with a positive integer on a blackboard, then after each second for the rest of eternity, replaces the number on the board with its sparkle. For some `special' numbers, if they're the first number, then eventually every number that appears will be less than 6. How many such special numbers are there with at most 36 digits?",702,aimo1_train,True,
aimo1_train_430b63,What is the minimum value of $5x^2+5y^2-8xy$ when $x$ and $y$ range over all real numbers such that $|x-2y| + |y-2x| = 40$?,800,aimo1_train,True,
aimo1_train_5277ed,There exists a unique increasing geometric sequence of five 2-digit positive integers. What is their sum?,211,aimo1_train,True,
aimo1_train_739bc9,For how many positive integers $m$ does the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] have $4$ distinct solutions?,199,aimo1_train,True,
aimo1_train_82e2a0,"Suppose that we roll four 6-sided fair dice with faces numbered 1 to~6. Let $a/b$ be the probability that the highest roll is a 5, where $a$ and $b$ are relatively prime positive integers. Find $a + b$.",185,aimo1_train,True,
aimo1_train_8ee6f3,"The points $\left(x, y\right)$ satisfying $((\vert x + y \vert - 10)^2 + ( \vert x - y \vert - 10)^2)((\vert x \vert - 8)^2 + ( \vert y \vert - 8)^2) = 0$ enclose a convex polygon. What is the area of this convex polygon?",320,aimo1_train,True,
aimo1_train_bedda4,Let $ABCD$ be a unit square. Let $P$ be the point on $AB$ such that $|AP| = 1/{20}$ and let $Q$ be the point on $AD$ such that $|AQ| = 1/{24}$. The lines $DP$ and $BQ$ divide the square into four regions. Find the ratio between the areas of the largest region and the smallest region.,480,aimo1_train,True,
aimo1_train_d7e9c9,A function $f: \mathbb N \to \mathbb N$ satisfies the following two conditions for all positive integers $n$:$f(f(f(n)))=8n-7$ and $f(2n)=2f(n)+1$. Calculate $f(100)$.,199,aimo1_train,True,
aimo1_test_000aaa,What is $1-1$?,UNANSWERED,aimo1_test,False,
aimo1_test_111bbb,What is $0\times10$?,UNANSWERED,aimo1_test,False,
aimo1_test_222ccc,Solve $4+x=4$ for $x$.,UNANSWERED,aimo1_test,False,
aimo2_ref_057f8a,"Three airline companies operate flights from Dodola island. Each company has a different schedule of departures. The first company departs every 100 days, the second every 120 days and the third every 150 days. What is the greatest positive integer $d$ for which it is true that there will be $d$ consecutive days without a flight from Dodola island, regardless of the departure times of the various airlines?",79,aimo2_reference,True,"The airlines are called A100, A120 and A150, labelled by the frequency of their departures. We first prove that there is a period of 99 days after an A100 departure during which no A150 plane takes off.

Consider a period of 301 days which starts with an A150 departure on Day 0, followed by a departure on Day 150 and on Day 300. Let the first A100 departure in this period be on Day $x$.

There are two possibilities: (i) $0 \leq x \leq 50$ or (ii) $51 \leq x \leq 99$. In case (i), there is a quiet period of 99 days after the first A100 departure. In case (ii), the second A100 departure will be on Day $100+x$ where $151 \leq 100+x \leq 199$ so there will be a period of 99 consecutive days after the second A100 departure with no A150 departure.

We will now prove that there are 79 consecutive days on which no departure of any airline happens, including the A120 planes. We restart time and define Day 0 to be when an A100 flight departs and there is no A150 flight before Day 100. This situation will repeat later because $300 = 3 \times 100 = 2 \times 150$.

Suppose the first departure of an A120 plane is on Day $y$. If $y \leq 20$ or $y \geq 80$, we have found the 79 consecutive days by looking after or before this A120 departure.

If $20 \leq y \leq 60$, then there will be an A120 departure on day $240+y$ where $260 \leq 240+y \leq 300$ so there will be no A120 departure strictly between Day 300 and Day 380.

Finally, if $61 \leq y \leq 80$, there will be an A120 departure on Day $y+240$ where $301 \leq y+240 \leq 320$ and there will be no subsequent departures before Day 400.

We now show that this bound can be attained. Suppose that an A100 departs on Day 0, an A120 departs on Day 80 and an A150 departs on Day 120. The departure days are then:
$0, 80, 100, 120, 200, 270, 300, 320, 400, 420, 440, 500, 560, 570$ modulo 600.
The longest run of consecutive days without flights is $\boxed{79}$ days."
aimo2_ref_192e23,"Fred and George take part in a tennis tournament with $4046$ other players. In each round, the players are paired into $2024$ matches. How many ways are there to arrange the first round such that Fred and George do not have to play each other? (Two arrangements for the first round are \textit{different} if there is a player with a different opponent in the two arrangements.)",250,aimo2_reference,True,"Consider a tournament with $2m$ players. The number of possible first round pairings can be calculated by labelling the matches $1$ to $m$. Label the players in order $1$ to $2m$ (this can be done in $(2m)!$ ways), and assign players $(2i-1)$ and $2i$ to match number $i$.

The number of times any given pairing arises is $2^m \cdot m!$ (swapping within pairs and permuting matches). Therefore the number of first round pairings is:
\[\frac{(2m)!}{2^m \cdot m!} = (2m-1)!!\]

For 4048 players ($2n+2 = 4048$, so $n = 2023$), the number of pairings where Fred and George do NOT play each other is:
\[(2n+1)!! - (2n-1)!! = 2n \cdot (2n-1)!! = 4046 \cdot 4045!!\]

To find $4046 \cdot 4045!! \mod 1000$:
- $\mod 125$: clearly divisible by $125$ due to factors of 5
- $\mod 8$: $4045!! \equiv -1 \mod 8$ and $4046 \equiv 6 \mod 8$, so $4046 \cdot 4045!! \equiv 6 \times (-1) \equiv 2 \mod 8$

By Chinese Remainder Theorem: $x \equiv 0 \mod 125$ and $x \equiv 2 \mod 8$ gives $x = \boxed{250}$."
aimo2_ref_1acac0,Triangle $ABC$ has side length $AB = 120$ and circumradius $R = 100$. Let $D$ be the foot of the perpendicular from $C$ to the line $AB$. What is the greatest possible length of segment $CD$?,180,aimo2_reference,True,"Let $O$ be the circumcentre of triangle $ABC$. Then
\[\text{dist}(O, AB) = \sqrt{R^2 - (AB/2)^2} = \sqrt{100^2 - 60^2} = 80\]
by Pythagoras.

Since $C$ must be on the circle with centre $O$ and radius $OA$, the largest possible altitude $h_c$ is attained when $C$ is the mid-point of the larger arc $AB$ of the circumcircle (i.e. on the perpendicular bisector of $AB$) in which case we have:
\[h_c = \text{dist}(O, AB) + R = 80 + 100 = \boxed{180}.\]"
aimo2_ref_1fce4b,Find the three-digit number $n$ such that writing any other three-digit number $10^{2024}$ times in a row and $10^{2024}+2$ times in a row results in two numbers divisible by $n$.,143,aimo2_reference,True,"Let $M = 10^{2024}$. Let $a$ be any three-digit number. Writing $M$ copies of $a$ in a row results in a number $X$ where
\[X = a \times 100100100\ldots1001001\]
and there are $M$ copies of the digit one in the long number. If instead we wrote $M+2$ copies of $a$ in a row, the resulting number would be $10^6 X + 1001a$.

We use the notation $(u,v)$ to denote $\gcd(u,v)$. If $n$ divides both $X$ and $10^6 X + 1001a$, then $n$ divides $(X, 10^6 X + 1001a) = (X, 1001a)$.

Since this works for all three-digit $a$, we need $n$ to divide $(X, 1001a)$ for all $a$. The number $1001 = 7 \times 11 \times 13$ and $X$ when reduced modulo small primes gives conditions that lead to $n = 143 = 11 \times 13$.

Verification shows that $n = \boxed{143}$ divides both numbers for any three-digit $a$."
